BeerID,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod
34424,Standard American Beer,1,3520.43,1.085,1.021,8.36,0,2.23,3520.43,60,1.085,85,1.25,Specific Gravity,4
67995,Standard American Beer,1,3000,1.055,1.014,5.4,107.38,4.56,3300,60,1.05,85,3,Specific Gravity,4
66236,Standard American Beer,1,2464.3,1.039,1,5.18,0,2.87,2816.35,240,1.035,78,1.1,Specific Gravity,4
59443,Standard American Beer,1,3066.18,1.03904191,1.004673034,4.51,18.36,2.58,2763.35,60,10.8,95,1.07,Plato,4
53340,Standard American Beer,1,3066.18,1.093609803,1.018713666,9.83,66.49,7.66,2763.35,60,24.6,85,1.07,Plato,4
71927,Standard American Beer,1,2500,1.07,1.018,6.9,0,3.94,2650,60,1.066,85,2.3,Specific Gravity,4
21746,Standard American Beer,1,2384.81,1.086582965,1.021637269,8.52,0,8.22,2600.58,90,19.2,80,1.5,Plato,4
17192,Standard American Beer,1,2450,1.049,1.009,5.24,15.7,5.48,2500,60,1.048,94,1.7,Specific Gravity,4
67652,Standard American Beer,1,2450,1.046,1.011,4.49,0,2.5,2450,60,1.046,80,3,Specific Gravity,4
67039,Standard American Beer,1,2450,1.057,1.011,6.01,0,9.93,2450,60,1.057,80,3,Specific Gravity,4
18044,Standard American Beer,1,2346.96,1.055,1.012,5.6,24.02,3.71,2405.63,60,1.053,84,1.25,Specific Gravity,4
58011,Standard American Beer,1,2200,1.049632502,1.009417662,5.28,35.51,5.09,2400,75,11.3,81,3,Plato,4
18227,Standard American Beer,1,2205,1.06,1.01,6.55,10.19,6.16,2315,60,1.057,80,3,Specific Gravity,4
73145,Standard American Beer,1,1994.91,1.051,1.01,5.44,20.09,3.85,2150.11,60,1.047,85,N/A,Specific Gravity,4
38835,Standard American Beer,1,1817,1.056166931,1.012177185,5.77,32.87,5.53,2138.76,90,11.8,93,1.5,Plato,4
70566,Standard American Beer,1,1994.91,1,1,0,0,0.03,2112.26,60,1,80,1.5,Specific Gravity,4
38998,Standard American Beer,1,1900,1.04,1.01,3.94,44.46,3.38,2000,60,1.038,80,3,Specific Gravity,4
45300,Standard American Beer,1,2000,1.047,1.012,4.67,54.01,28.8,2000,90,1.047,69,3,Specific Gravity,4
38058,Standard American Beer,1,2000,1.045,1.011,4.45,39.24,15.65,1985.6,90,1.046,75,3,Specific Gravity,4
56841,Standard American Beer,1,1800,1.070042162,1.017498928,6.89,9.74,12.4,1900,60,16.2,88,4,Plato,4
64868,Standard American Beer,1,1779.14,1.053,1.011,5.42,38.25,4.15,1892.71,75,1.05,72,1.7,Specific Gravity,4
