,count,mean,std,min,25%,50%,75%,max
StyleID,69656.0,21.921385092454347,11.018799073569975,1.0,17.0,22.0,27.0,49.0
Size,69656.0,44.319504995980246,182.15763742009062,1.0,18.93,20.82,24.0,9200.0
OG,69656.0,1.0607551809730966,0.0589146809180203,1.0,1.05,1.057,1.067,15.897
FG,69656.0,1.0139763445340386,0.012430360880787798,0.996,1.011,1.013,1.016,3.9739999999999998
ABV,63763.0,5.7631766071232535,1.1320838430274722,0.0,5.03,5.66,6.51,8.41
IBU,69161.0,43.514269602810835,29.984450977677582,0.0,24.04,36.47,57.06,200.0
Color,69646.0,13.352534388191712,11.994128924141839,0.0,5.17,8.3,16.35,78.27
BoilSize,69656.0,50.22040771792811,195.1526189709219,1.0,21.0,27.92,30.0,9700.0
BoilTime,69656.0,65.27185023544274,14.436138664716877,0.0,60.0,60.0,60.0,240.0
BoilGravity,67204.0,1.3514814296768052,1.919269374460371,1.0,1.04,1.047,1.0590000000000002,52.6
Efficiency,69656.0,66.47114878833122,13.695359135966319,10.0,65.0,70.0,75.0,100.0
MashThickness,41964.0,2.1285040927938232,1.6869658467801045,0.0,1.5,1.5,3.0,100.0
BrewMethod,69656.0,3.401903640748823,1.0063020684417099,1.0,3.0,4.0,4.0,4.0
OG_sg,63901.0,1.0555718138367307,0.013900483254755817,1.0,1.0490000000000002,1.056,1.064,1.082
FG_sg,63669.0,1.0126140174565268,0.0037648023400914947,0.996,1.01,1.013,1.015,1.02
BoilGravity_sg,67204.0,1.0531561318428984,0.02619891619122021,1.0,1.04,1.047,1.058,1.5
