,count,mean,std,min,25%,50%,75%,max
ABV,48759.0,5.760691293825424,1.083266587729837,0.0,5.08,5.7631766071232615,6.41,8.41
IBU,48759.0,43.483171544260856,29.770667988691425,0.0,24.18,36.67,56.79,199.85
Color,48759.0,13.339071662797211,11.977706121701672,0.0,5.17,8.31,16.3,78.27
OG_sg,48759.0,1.0555684247544472,0.013311543850850777,1.0,1.05,1.0555718138367354,1.063,1.082
FG_sg,48759.0,1.0126168109326295,0.0036051809038891557,0.998,1.01,1.0126140174564773,1.015,1.02
Size,48759.0,44.03239607046904,179.513121136392,1.0,18.93,20.82,23.66,9200.0
BoilSize,48759.0,49.89974630324659,191.55180276185752,1.0,21.0,27.75,30.0,9700.0
Efficiency,48759.0,66.43757049980516,13.715516651065261,10.0,65.0,70.0,75.0,100.0
BoilGravity_sg,48759.0,1.0530738945310536,0.025705275060992752,1.0,1.04,1.047,1.057,1.5
BrewMethod,48759.0,3.399905658442544,1.0081423257115187,1.0,3.0,4.0,4.0,4.0
