,count,mean,std,min,25%,50%,75%,max
ABV,28595.0,5.9196527180865255,1.0243467299963844,0.0,5.28,5.918464193270051,6.57,8.41
IBU,28595.0,47.09298306131484,28.9742452649071,0.0,28.15,41.41,61.9,199.82
Color,28595.0,13.120912071413679,12.192763343819738,0.0,5.39,7.81,14.61,72.47
OG_sg,28595.0,1.0570327356819338,0.012886838941395458,1.0,1.052,1.057,1.065,1.082
FG_sg,28595.0,1.0127091572113576,0.0035857725028182854,0.997,1.011,1.012709637379007,1.015,1.02
Size,28595.0,44.95310753628257,172.3391290951205,1.0,18.93,20.82,24.0,5000.0
BoilSize,28595.0,50.86135338345864,184.3028453344037,1.0,21.0,28.0,30.0,5320.0
Efficiency,28595.0,66.27226962755726,13.792358764001314,10.0,65.0,70.0,75.0,100.0
BoilGravity_sg,28595.0,1.0535453444025074,0.0250710890900736,1.0,1.041,1.048,1.057,1.5
BrewMethod,28595.0,3.390347962930582,1.0131149509398691,1.0,3.0,4.0,4.0,4.0
