,count,mean,std,min,25%,50%,75%,max
ABV,48759.0,-4.1269448259246573e-16,1.0000102546748502,-5.327102960037048,-0.6218462725896001,0.0004462092374942415,0.5983774656089524,2.4472013113643345
IBU,48759.0,-3.796148047857957e-17,1.0000102546748502,-1.4590941146850265,-0.6500539529658351,-0.22924559985909093,0.4501600652126918,5.252681573134833
Color,48759.0,-6.732515923648277e-17,1.0000102546748502,-1.1134308212449031,-0.6828822789610812,-0.41972301520539895,0.24650296898620144,5.4047576515896685
OG_sg,48759.0,-7.559653594267921e-15,1.0000102546748502,-4.171296608736837,-0.41752136878343676,0.0007853676558995396,0.5584601936044389,1.9848947847867393
FG_sg,48759.0,2.4365878625491045e-14,1.0000102546748502,-4.340621278103819,-0.4489778308939172,-0.0003220838808723122,0.6629202968803491,2.052792956598213
Size,48759.0,-3.38083050711342e-17,1.0000102546748504,-0.23621020419442973,-0.13899635201766292,-0.12874904690812086,-0.11150754942222467,49.63942985013229
BoilSize,48759.0,1.8652857970280937e-17,1.00001025467485,-0.24982059226596434,-0.14705286654888422,-0.11358832081894295,-0.10333427888207036,48.7422743563681
Efficiency,48759.0,2.0474426131441185e-16,1.00001025467485,-4.124392723699285,-0.10831356119060524,0.25678454449200194,0.6218826501746092,2.4473731785876454
BoilGravity_sg,48759.0,-1.264896931109676e-16,1.0000102546748504,-2.059310710951746,-0.5105747257660539,-0.2395459283585621,0.14763806793786086,17.299889103869386
BrewMethod,48759.0,9.501299528611852e-17,1.0000102546748502,-2.3879491696483566,-0.3998840887081566,0.5941484517619434,0.5941484517619434,0.5941484517619434
